unit,landuse,geo\time	2015 	2012 	2009 
CVA,LUA,EL42	5.1 	5.6 	2.1 
CVA,LUA,EL43	2.7 	2.8 	1.5 
CVA,LUA,EL5	1.4 	1.4 	1.2 
CVA,LUA,EL51	2.7 	2.6 	2.5 
CVA,LUA,EL52	2.1 	2.1 	1.8 
CVA,LUA,EL53	3.2 	3.1 	2.7 
CVA,LUA,EL54	5.4 	5 	4 
CVA,LUA,EL6	1.3 	1.3 	1.1 
CVA,LUA,EL61	2.2 	2.3 	1.8 
CVA,LUA,EL62	7 	7.4 	9.5 
CVA,LUA,EL63	3.2 	3.4 	2.7 
CVA,LUA,EL64	2.7 	2.6 	2.3 
CVA,LUA,EL65	2.6 	2.5 	2.1 
CVA,LUA,ES	0.4 	0.4 	0.3 
CVA,LUA,ES1	2.1 	2 	1.6 
CVA,LUA,ES11	2.8 	2.7 	2.3 
CVA,LUA,ES12	4.1 	3.7 	3 
CVA,LUA,ES13	4.3 	3.8 	3.2 
CVA,LUA,ES2	1.1 	1.1 	0.8 
CVA,LUA,ES21	5.2 	5.1 	4.5 
CVA,LUA,ES22	2.7 	2.8 	2.3 
CVA,LUA,ES23	4.2 	4 	2.7 
CVA,LUA,ES24	1.3 	1.3 	0.9 
CVA,LUA,ES3	3.7 	3.9 	2.6 
CVA,LUA,ES30	3.7 	3.9 	2.6 
CVA,LUA,ES4	0.5 	0.5 	0.3 
CVA,LUA,ES41	0.8 	0.7 	0.6 
CVA,LUA,ES42	0.8 	0.8 	0.6 
CVA,LUA,ES43	0.9 	0.9 	0.6 
CVA,LUA,ES5	1.5 	1.4 	1 
CVA,LUA,ES51	2 	2 	1.5 
CVA,LUA,ES52	2.4 	2.3 	1.6 
CVA,LUA,ES53	4.7 	5 	4.1 
CVA,LUA,ES6	0.8 	0.7 	0.6 
CVA,LUA,ES61	0.8 	0.7 	0.6 
CVA,LUA,ES62	2.8 	2.7 	1.9 
CVA,LUA,EU27_2007	0.2 	0.2 	: 
CVA,LUA,EU27_2020	0.2 	: 	: 
CVA,LUA,EU28	0.2 	: 	: 
CVA,LUA,EU_V	0.2 	0.2 	0.1 
CVA,LUA,FI	1.8 	1.8 	1.5 
CVA,LUA,FI1	1.8 	1.8 	1.5 
CVA,LUA,FI19	2.8 	3 	2.6 
CVA,LUA,FI1B	5.2 	5.5 	4.8 
CVA,LUA,FI1C	2.9 	3.1 	2.7 
CVA,LUA,FI1D	3.9 	3.6 	3 
CVA,LUA,FI2	22.2 	18.1 	: 
CVA,LUA,FI20	22.2 	18.1 	: 
CVA,LUA,FR	0.3 	0.3 	0.3 
CVA,LUA,FR1	2.2 	2.2 	2.2 
CVA,LUA,FR10	2.2 	2.2 	2.2 
CVA,LUA,FR2	0.5 	0.5 	0.5 
CVA,LUA,FR21	1.2 	1.2 	1.2 
CVA,LUA,FR22	1.2 	1.1 	1.2 
CVA,LUA,FR23	1.7 	1.7 	1.7 
CVA,LUA,FR24	1 	1 	1 
CVA,LUA,FR25	1.2 	1.2 	1.3 
CVA,LUA,FR26	1.2 	1.1 	1.2 
CVA,LUA,FR3	1.6 	1.6 	1.6 
CVA,LUA,FR30	1.6 	1.6 	1.6 
CVA,LUA,FR4	1.2 	1.2 	1.2 
CVA,LUA,FR41	1.6 	1.6 	1.6 
CVA,LUA,FR42	3.1 	3.1 	3.1 
CVA,LUA,FR43	2.2 	2.1 	2.2 
CVA,LUA,FR5	0.6 	0.7 	0.6 
CVA,LUA,FR51	1 	1.1 	1.1 
CVA,LUA,FR52	1.2 	1.2 	1.2 
CVA,LUA,FR53	1 	1.1 	1.1 
CVA,LUA,FR6	0.9 	0.8 	0.8 
CVA,LUA,FR61	1.6 	1.6 	1.6 
CVA,LUA,FR62	1.1 	1.1 	1 
CVA,LUA,FR63	2 	2 	2 
CVA,LUA,FR7	1.1 	1.1 	0.9 
