unit,landuse,geo\time	2015 	2012 	2009 
CVA,LUD3,AT1	8.2 	8.1 	8.6 
CVA,LUD3,AT12	7 	7 	7.3 
CVA,LUD3,AT2	12.1 	11 	18 
CVA,LUD3,AT21	: 	5.5 	: 
CVA,LUD3,AT22	11 	13.6 	19 
CVA,LUD3,AT3	8.6 	10.3 	13.5 
CVA,LUD3,AT31	25.1 	22.3 	23.1 
CVA,LUD3,AT32	23.2 	22.6 	16.3 
CVA,LUD3,AT33	3.8 	3.4 	4.6 
CVA,LUD3,AT34	39.6 	55.7 	59.7 
CVA,LUD3,BE	7.5 	9.8 	9.5 
CVA,LUD3,BE2	10.9 	13.4 	13.7 
CVA,LUD3,BE21	26.7 	27.3 	52 
CVA,LUD3,BE22	18.8 	: 	38.1 
CVA,LUD3,BE23	30.1 	20 	16.1 
CVA,LUD3,BE24	30.4 	34.6 	: 
CVA,LUD3,BE25	23 	32.2 	16.1 
CVA,LUD3,BE3	10.9 	18.1 	13.5 
CVA,LUD3,BE31	28.8 	31.5 	29.7 
CVA,LUD3,BE32	24.8 	: 	34.3 
CVA,LUD3,BE33	20.2 	: 	: 
CVA,LUD3,BE34	11.6 	17.2 	: 
CVA,LUD3,BE35	27.5 	: 	: 
CVA,LUD3,BG	2.4 	4.9 	: 
CVA,LUD3,BG3	2.7 	6 	: 
CVA,LUD3,BG31	6.1 	3.3 	: 
CVA,LUD3,BG32	4.9 	6 	: 
CVA,LUD3,BG33	4.4 	8 	: 
CVA,LUD3,BG34	7.1 	6.3 	: 
CVA,LUD3,BG4	7.7 	5.5 	: 
CVA,LUD3,BG41	8.2 	: 	: 
CVA,LUD3,BG42	: 	4.9 	: 
CVA,LUD3,CZ	4.5 	4.2 	4 
CVA,LUD3,CZ0	4.5 	4.2 	4 
CVA,LUD3,CZ02	6.4 	8.8 	9.9 
CVA,LUD3,CZ03	27.3 	27.8 	28.5 
CVA,LUD3,CZ04	6.2 	9.8 	19 
CVA,LUD3,CZ05	13.3 	13.4 	8.4 
CVA,LUD3,CZ06	6.4 	5.6 	4.6 
CVA,LUD3,CZ07	5.7 	4 	4.7 
CVA,LUD3,CZ08	9.3 	42.2 	: 
CVA,LUD3,DE	3.2 	3.1 	3.5 
CVA,LUD3,DE1	12.7 	9.8 	12.1 
CVA,LUD3,DE11	42.5 	29.4 	27 
CVA,LUD3,DE12	19.8 	17.1 	24.2 
CVA,LUD3,DE13	12.6 	18 	37.3 
CVA,LUD3,DE14	13.5 	13.8 	16.9 
CVA,LUD3,DE2	6.7 	6 	3.9 
CVA,LUD3,DE21	39 	22.7 	14.4 
CVA,LUD3,DE22	6.2 	6.8 	6.5 
CVA,LUD3,DE23	13 	11 	5.9 
CVA,LUD3,DE24	9.2 	7.8 	10.3 
CVA,LUD3,DE25	: 	12.3 	12.4 
CVA,LUD3,DE26	: 	36.2 	: 
CVA,LUD3,DE27	21.4 	8.7 	7.5 
CVA,LUD3,DE3	68.8 	76.6 	71.7 
CVA,LUD3,DE30	68.8 	76.6 	71.7 
CVA,LUD3,DE4	9.3 	5.6 	6.8 
CVA,LUD3,DE40	9.3 	5.6 	6.8 
CVA,LUD3,DE6	: 	: 	71.9 
CVA,LUD3,DE60	: 	: 	71.9 
CVA,LUD3,DE7	13.4 	15.1 	23.1 
CVA,LUD3,DE71	15.8 	27.6 	: 
CVA,LUD3,DE72	9 	10.9 	19.4 
CVA,LUD3,DE73	22.9 	21.2 	41.3 
CVA,LUD3,DE8	9.5 	14.4 	16.5 
CVA,LUD3,DE80	9.5 	14.4 	16.5 
CVA,LUD3,DE9	11.5 	14 	16.2 
CVA,LUD3,DE91	20.4 	20.2 	15 
CVA,LUD3,DE92	: 	: 	21.8 
CVA,LUD3,DE93	13.8 	19.6 	35 
CVA,LUD3,DEA	7.2 	7.4 	8.4 
CVA,LUD3,DEA1	27.4 	24.9 	17.8 
CVA,LUD3,DEA2	18.2 	14.9 	17 
CVA,LUD3,DEA3	: 	19.4 	25.5 
CVA,LUD3,DEA4	14 	13.1 	20.9 
CVA,LUD3,DEA5	7.5 	11.9 	14.1 
CVA,LUD3,DEB	10.8 	11.9 	12.4 
CVA,LUD3,DEB2	15 	15.3 	17.5 
CVA,LUD3,DEB3	10 	11.1 	12.1 
CVA,LUD3,DEC	22.8 	24.1 	26.5 
CVA,LUD3,DEC0	22.8 	24.1 	26.5 
CVA,LUD3,DED	24.3 	18.9 	20.1 
CVA,LUD3,DED2	20.2 	18.2 	19.3 
CVA,LUD3,DED4	42 	30.8 	34.3 
CVA,LUD3,DED5	37.1 	36.9 	29.9 
CVA,LUD3,DEE	10.8 	9.3 	12.2 
CVA,LUD3,DEE0	10.8 	9.3 	12.2 
CVA,LUD3,DEF	13.3 	17 	17.5 
CVA,LUD3,DEF0	13.3 	17 	17.5 
CVA,LUD3,DEG	13.1 	10.5 	11.1 
CVA,LUD3,DEG0	13.1 	10.5 	11.1 
CVA,LUD3,DK	9.6 	10 	14.8 
CVA,LUD3,DK0	9.6 	10 	14.8 
CVA,LUD3,DK02	8.9 	12.8 	: 
CVA,LUD3,DK03	12.4 	14.1 	16.2 
CVA,LUD3,DK04	33.4 	26.5 	27.1 
CVA,LUD3,DK05	10.7 	14 	48.5 
CVA,LUD3,EE	20 	28.6 	37.7 
CVA,LUD3,EE0	20 	28.6 	37.7 
CVA,LUD3,EE00	20 	28.6 	37.7 
CVA,LUD3,EL	5.2 	6.3 	5.2 
CVA,LUD3,EL3	33.4 	31.7 	15.3 
CVA,LUD3,EL30	33.4 	31.7 	15.3 
CVA,LUD3,EL4	13.3 	19.1 	: 
CVA,LUD3,EL42	39.4 	29.6 	: 
CVA,LUD3,EL43	12.1 	18.1 	: 
CVA,LUD3,EL5	6.5 	7.6 	10.2 
CVA,LUD3,EL51	12.8 	27.2 	25.6 
CVA,LUD3,EL52	12.1 	12.3 	30.1 
CVA,LUD3,EL53	: 	6.1 	13.6 
CVA,LUD3,EL54	3.7 	5.1 	3.5 
CVA,LUD3,EL6	10.8 	13.7 	11.7 
CVA,LUD3,EL61	27.6 	22.3 	: 
CVA,LUD3,EL64	19.7 	: 	9.1 
CVA,LUD3,EL65	4.4 	5.7 	: 
CVA,LUD3,ES	2.2 	2.4 	3 
CVA,LUD3,ES1	3.5 	4.1 	14.8 
CVA,LUD3,ES11	7.6 	7.8 	36.8 
CVA,LUD3,ES12	2.9 	3.9 	4.2 
CVA,LUD3,ES13	: 	: 	24.9 
CVA,LUD3,ES2	6.2 	7.7 	7.3 
CVA,LUD3,ES21	5.1 	8.5 	8.1 
CVA,LUD3,ES22	3.4 	: 	4.1 
CVA,LUD3,ES24	9 	7.8 	9.3 
CVA,LUD3,ES3	19.3 	13.2 	12.3 
CVA,LUD3,ES30	19.3 	13.2 	12.3 
CVA,LUD3,ES4	3.4 	3.5 	5.3 
CVA,LUD3,ES41	4.6 	4.4 	4.9 
CVA,LUD3,ES42	3.1 	9.8 	21.4 
CVA,LUD3,ES43	7.5 	7.1 	12.6 
CVA,LUD3,ES5	5.1 	5.5 	5.3 
CVA,LUD3,ES51	8.1 	9.9 	6.5 
CVA,LUD3,ES52	6 	6.8 	9.5 
CVA,LUD3,ES6	5.1 	6.9 	11.3 
CVA,LUD3,ES61	4.9 	6.6 	11 
CVA,LUD3,ES62	: 	33.9 	: 
CVA,LUD3,EU27_2007	1 	1 	: 
CVA,LUD3,EU27_2020	1 	: 	: 
CVA,LUD3,EU28	1 	: 	: 
CVA,LUD3,EU_V	1.1 	1.1 	1.1 
CVA,LUD3,FI	15.1 	9.3 	6 
CVA,LUD3,FI1	15.2 	9.3 	6 
CVA,LUD3,FI19	29.6 	18.9 	7.9 
CVA,LUD3,FI1B	: 	16.2 	33.8 
CVA,LUD3,FI1C	33.3 	8.6 	17.6 
CVA,LUD3,FI1D	16 	8.4 	5 
CVA,LUD3,FR	2.9 	3.2 	4.3 
CVA,LUD3,FR1	17.5 	15.4 	31 
CVA,LUD3,FR10	17.5 	15.4 	31 
CVA,LUD3,FR2	4.6 	7.1 	5.9 
CVA,LUD3,FR21	9.5 	13.7 	: 
CVA,LUD3,FR22	7.1 	11.1 	8.5 
CVA,LUD3,FR23	10.7 	15.5 	9.5 
CVA,LUD3,FR24	14.9 	13.1 	29.3 
CVA,LUD3,FR25	9.4 	: 	: 
CVA,LUD3,FR26	5.9 	14 	6.1 
CVA,LUD3,FR3	16.6 	19.5 	19.9 
CVA,LUD3,FR30	16.6 	19.5 	19.9 
CVA,LUD3,FR4	6.1 	8.7 	10.3 
CVA,LUD3,FR41	10.8 	7.9 	10.2 
CVA,LUD3,FR42	12.5 	12.2 	10.9 
CVA,LUD3,FR43	5.2 	25.3 	36.3 
CVA,LUD3,FR5	8.5 	7.9 	13 
CVA,LUD3,FR51	14.4 	15.3 	20.5 
CVA,LUD3,FR52	13.9 	14.8 	22.4 
CVA,LUD3,FR53	8.5 	10 	11.8 
CVA,LUD3,FR6	10.6 	10.3 	15.7 
CVA,LUD3,FR61	14.5 	12.3 	25.8 
CVA,LUD3,FR62	8.4 	26.4 	10.5 
CVA,LUD3,FR63	: 	32.8 	: 
CVA,LUD3,FR7	7.6 	8.8 	8.3 
CVA,LUD3,FR71	7.2 	8.8 	7.2 
CVA,LUD3,FR72	31.1 	26.9 	21.6 
CVA,LUD3,FR8	6.8 	5.8 	7 
CVA,LUD3,FR81	15.9 	21.6 	: 
CVA,LUD3,FR82	8.3 	6.4 	7.1 
CVA,LUD3,HR	8.4 	: 	: 
CVA,LUD3,HR0	8.4 	: 	: 
CVA,LUD3,HR04	8.6 	: 	: 
CVA,LUD3,HU	7.6 	8.5 	6.6 
CVA,LUD3,HU1	20.2 	18.5 	18.3 
CVA,LUD3,HU10	20.2 	18.5 	18.3 
CVA,LUD3,HU2	11.7 	9.6 	6.6 
CVA,LUD3,HU21	36.2 	37.3 	34.7 
CVA,LUD3,HU22	11.6 	14.2 	7.5 
CVA,LUD3,HU23	8.3 	9.1 	8.8 
CVA,LUD3,HU3	11.7 	12.7 	10 
CVA,LUD3,HU31	4.8 	15 	14.3 
CVA,LUD3,HU32	32.2 	54.8 	43.1 
CVA,LUD3,HU33	13.9 	13.7 	9.3 
CVA,LUD3,IE	8.6 	14 	18.3 
CVA,LUD3,IE0	8.6 	14 	18.3 
CVA,LUD3,IE01	: 	20.6 	30.4 
CVA,LUD3,IE02	9.6 	11.6 	12.4 
CVA,LUD3,IT	2.2 	2.3 	2.5 
CVA,LUD3,ITC	4 	4.4 	4.3 
CVA,LUD3,ITC1	4.7 	5.2 	5.2 
CVA,LUD3,ITC3	: 	49.7 	9.3 
CVA,LUD3,ITC4	7.2 	7.5 	8.4 
CVA,LUD3,ITF	7.1 	5.2 	9 
CVA,LUD3,ITF1	10.1 	7.9 	9.5 
CVA,LUD3,ITF2	: 	9.3 	: 
CVA,LUD3,ITF3	20 	12.2 	33.2 
CVA,LUD3,ITF4	10.1 	6.8 	18.4 
CVA,LUD3,ITF6	: 	6.5 	4.1 
CVA,LUD3,ITG	7.6 	8.8 	6.5 
CVA,LUD3,ITG1	13.9 	14.5 	12.7 
CVA,LUD3,ITG2	7.7 	10 	6.2 
CVA,LUD3,ITH	4.2 	4 	3.8 
CVA,LUD3,ITH3	8.2 	8.6 	4.8 
CVA,LUD3,ITH4	24.8 	10.2 	22.6 
CVA,LUD3,ITH5	4.7 	5.4 	4.3 
CVA,LUD3,ITI	4.3 	5.8 	6.2 
CVA,LUD3,ITI1	4.1 	5.6 	6.1 
CVA,LUD3,ITI2	14.5 	12.5 	24.9 
CVA,LUD3,ITI3	8.1 	13.7 	7.1 
CVA,LUD3,ITI4	27.8 	50.7 	36.4 
CVA,LUD3,LT	2 	3.2 	4.1 
CVA,LUD3,LT0	2 	3.2 	4.1 
CVA,LUD3,LT00	2 	3.2 	4.1 
CVA,LUD3,LU	12.5 	: 	: 
CVA,LUD3,LU0	12.5 	: 	: 
CVA,LUD3,LU00	12.5 	: 	: 
CVA,LUD3,LV	16.2 	12.3 	3.9 
CVA,LUD3,LV0	16.2 	12.3 	3.9 
CVA,LUD3,LV00	16.2 	12.3 	3.9 
CVA,LUD3,NL	10.3 	11.1 	9.4 
CVA,LUD3,NL1	46.1 	: 	14.4 
CVA,LUD3,NL11	40.2 	: 	: 
CVA,LUD3,NL12	60.6 	: 	23 
CVA,LUD3,NL13	: 	: 	17.1 
CVA,LUD3,NL2	24.9 	38.4 	19.6 
CVA,LUD3,NL22	29.7 	: 	23.1 
CVA,LUD3,NL23	: 	37.9 	29.8 
CVA,LUD3,NL3	17 	19.2 	14.5 
CVA,LUD3,NL31	40.4 	40.1 	35.2 
CVA,LUD3,NL32	40.1 	44.2 	29.1 
CVA,LUD3,NL33	28.1 	30.5 	28 
CVA,LUD3,NL34	40.7 	: 	24.5 
CVA,LUD3,NL4	12.1 	14.9 	26.3 
CVA,LUD3,NL41	14.8 	17.5 	24.3 
CVA,LUD3,NL42	21.3 	26.6 	44.7 
CVA,LUD3,PL	3.3 	3.3 	3.8 
CVA,LUD3,PL1	7.3 	7.3 	10.1 
CVA,LUD3,PL11	13.3 	9.1 	8.5 
CVA,LUD3,PL12	8.2 	10.2 	13.4 
CVA,LUD3,PL2	6.5 	7.6 	7.1 
CVA,LUD3,PL21	5.1 	6.5 	7.3 
CVA,LUD3,PL22	11.9 	11.7 	11.8 
CVA,LUD3,PL3	7 	5.9 	7.8 
CVA,LUD3,PL31	14.3 	17.5 	18.9 
CVA,LUD3,PL32	10.3 	9 	12.7 
CVA,LUD3,PL33	4.4 	8.8 	10.7 
CVA,LUD3,PL34	11.4 	5.7 	: 
CVA,LUD3,PL4	7.4 	12.2 	16.7 
CVA,LUD3,PL41	10 	18.8 	19.2 
CVA,LUD3,PL42	9.4 	: 	: 
CVA,LUD3,PL43	12.1 	13.7 	25.7 
CVA,LUD3,PL5	17.3 	14 	16.5 
CVA,LUD3,PL51	23.9 	13.7 	11.5 
CVA,LUD3,PL52	9.5 	35 	21.4 
CVA,LUD3,PL6	12 	9.7 	9.3 
CVA,LUD3,PL61	41.7 	39.8 	13.3 
CVA,LUD3,PL62	6.6 	11.7 	17.6 
CVA,LUD3,PL63	17.1 	13.9 	11.6 
CVA,LUD3,PT	3 	4.9 	5 
CVA,LUD3,PT1	3 	4.9 	5 
CVA,LUD3,PT11	10.8 	21.4 	15.1 
CVA,LUD3,PT15	: 	38.2 	: 
CVA,LUD3,PT16	4 	6.3 	7.1 
CVA,LUD3,PT18	1.5 	4.8 	2.7 
CVA,LUD3,RO	2.9 	3.1 	: 
CVA,LUD3,RO1	5.1 	3.2 	: 
CVA,LUD3,RO11	7 	6 	: 
CVA,LUD3,RO12	3.4 	2 	: 
CVA,LUD3,RO2	5.9 	8.4 	: 
CVA,LUD3,RO21	8.8 	10 	: 
CVA,LUD3,RO22	3 	12.5 	: 
CVA,LUD3,RO3	5.3 	4.1 	: 
CVA,LUD3,RO31	4.7 	4.1 	: 
CVA,LUD3,RO4	4.5 	3.1 	: 
CVA,LUD3,RO41	5.6 	5 	: 
CVA,LUD3,RO42	: 	3.8 	: 
CVA,LUD3,SE	5.6 	6.4 	3.8 
CVA,LUD3,SE1	10.8 	10.5 	9.2 
CVA,LUD3,SE11	32.5 	31.1 	: 
CVA,LUD3,SE12	12 	11.7 	8.7 
CVA,LUD3,SE2	9.5 	10.9 	8 
CVA,LUD3,SE21	11.7 	15 	12.1 
CVA,LUD3,SE22	10.8 	10 	9 
CVA,LUD3,SE23	31.3 	50.8 	30.2 
CVA,LUD3,SE3	10.3 	10.3 	4.4 
CVA,LUD3,SE31	10.8 	14.1 	5.3 
CVA,LUD3,SE32	18.6 	19.3 	9.6 
CVA,LUD3,SE33	20 	20.2 	11.1 
CVA,LUD3,SI	9.1 	10 	11.7 
CVA,LUD3,SI0	9.1 	10 	11.7 
CVA,LUD3,SI03	9.7 	9.2 	12.4 
CVA,LUD3,SK	10.2 	12.4 	15.3 
CVA,LUD3,SK0	10.2 	12.4 	15.3 
CVA,LUD3,SK02	4.9 	5.3 	4.7 
CVA,LUD3,SK03	5.5 	31.1 	6 
CVA,LUD3,SK04	23.3 	18.6 	20.9 
CVA,LUD3,UK	4.8 	4.5 	4.7 
CVA,LUD3,UKC	14.1 	: 	56 
CVA,LUD3,UKC1	21.7 	: 	60.6 
CVA,LUD3,UKD	10.6 	8 	11.5 
CVA,LUD3,UKD1	7.4 	7.7 	17.7 
CVA,LUD3,UKD3	32.1 	35.5 	30.1 
CVA,LUD3,UKD4	: 	16.5 	20.1 
CVA,LUD3,UKD6	23.1 	24.4 	24.3 
CVA,LUD3,UKD7	61.2 	62.2 	49.2 
CVA,LUD3,UKE	13.3 	12.4 	12.7 
CVA,LUD3,UKE1	12.7 	11.7 	8.1 
CVA,LUD3,UKE3	31.6 	28.7 	35.5 
CVA,LUD3,UKE4	: 	63.7 	66.2 
CVA,LUD3,UKF	16.7 	16.7 	15.2 
CVA,LUD3,UKF2	21.9 	19.5 	15.1 
CVA,LUD3,UKG	11.9 	10.8 	12.1 
CVA,LUD3,UKG2	16.7 	12.2 	13.9 
CVA,LUD3,UKG3	49.5 	56.4 	56.8 
CVA,LUD3,UKH	36.6 	16.7 	17.1 
CVA,LUD3,UKH1	17.6 	13.9 	11.9 
CVA,LUD3,UKH2	: 	: 	20.2 
CVA,LUD3,UKH3	49.6 	: 	48.5 
CVA,LUD3,UKI	94.2 	95.4 	128.1 
CVA,LUD3,UKI5	87.3 	86.3 	128 
CVA,LUD3,UKK	9.6 	10.9 	13.4 
CVA,LUD3,UKK1	11.2 	13.7 	17.8 
CVA,LUD3,UKK2	: 	: 	14.6 
CVA,LUD3,UKK4	: 	: 	37.1 
CVA,LUD3,UKL	23.3 	22 	11.5 
CVA,LUD3,UKL1	15 	17 	11.7 
CVA,LUD3,UKL2	38.2 	38.4 	21.8 
CVA,LUD3,UKM	5.5 	5.4 	6.3 
CVA,LUD3,UKM2	7.7 	12 	7.2 
CVA,LUD3,UKM3	11.7 	15.6 	30.5 
CVA,LUD3,UKM5	16.6 	17.2 	8.5 
CVA,LUD3,UKM6	2.1 	2.6 	: 
CVA,LUD4,AT	10.4 	12.5 	17.7 
CVA,LUD4,AT1	19.9 	58 	36 
CVA,LUD4,AT11	25 	: 	: 
CVA,LUD4,AT12	28.2 	51.1 	31.2 
CVA,LUD4,AT2	41.7 	48.3 	48.7 
CVA,LUD4,AT21	40.8 	47 	35.9 
CVA,LUD4,AT3	12.9 	11 	24 
CVA,LUD4,AT31	7.5 	8.6 	: 
CVA,LUD4,AT32	31.1 	21.9 	29.2 
CVA,LUD4,AT33	: 	8.1 	5.2 
CVA,LUD4,BE	16.7 	16.6 	22 
CVA,LUD4,BE2	22.9 	23.6 	27.6 
CVA,LUD4,BE22	38.2 	37 	38.8 
CVA,LUD4,BE23	: 	: 	56.7 
CVA,LUD4,BE24	: 	21.1 	: 
CVA,LUD4,BE25	19.1 	: 	40.2 
CVA,LUD4,BG	5.4 	3.5 	: 
CVA,LUD4,BG3	7.4 	3.7 	: 
CVA,LUD4,BG31	4.4 	3.2 	: 
CVA,LUD4,BG32	67.5 	25.8 	: 
CVA,LUD4,BG33	5 	6.1 	: 
CVA,LUD4,BG34	9.2 	3.4 	: 
CVA,LUD4,BG4	7.4 	6.3 	: 
CVA,LUD4,BG41	4.9 	4.5 	: 
CVA,LUD4,BG42	8.5 	: 	: 
CVA,LUD4,CY	10.7 	8.6 	: 
CVA,LUD4,CY0	10.7 	8.6 	: 
CVA,LUD4,CY00	10.7 	8.6 	: 
CVA,LUD4,CZ	6.1 	6.2 	4.4 
CVA,LUD4,CZ0	6.1 	6.2 	4.4 
CVA,LUD4,CZ01	46.4 	: 	: 
CVA,LUD4,CZ02	8 	7.9 	9.3 
CVA,LUD4,CZ03	: 	39.6 	10.4 
CVA,LUD4,CZ04	14.4 	11.5 	8.9 
CVA,LUD4,CZ05	16.9 	18.5 	5.9 
CVA,LUD4,CZ06	9.9 	12.5 	7.2 
CVA,LUD4,CZ07	19.2 	33.5 	23.8 
CVA,LUD4,CZ08	: 	34.6 	27 
CVA,LUD4,DE	5.7 	6 	6.6 
CVA,LUD4,DE1	41.8 	30.4 	47 
CVA,LUD4,DE11	82.4 	43.6 	47.4 
CVA,LUD4,DE13	43.7 	50.8 	: 
CVA,LUD4,DE2	15.2 	14.9 	11 
CVA,LUD4,DE21	48.3 	33.3 	54.8 
CVA,LUD4,DE22	10.6 	12.1 	11.9 
CVA,LUD4,DE23	29.3 	26 	36 
CVA,LUD4,DE25	26.1 	15 	15.6 
CVA,LUD4,DE26	: 	: 	86.1 
CVA,LUD4,DE27	: 	: 	9.1 
CVA,LUD4,DE3	59.3 	88.5 	90.7 
CVA,LUD4,DE30	59.3 	88.5 	90.7 
CVA,LUD4,DE4	35.8 	18.4 	20.6 
CVA,LUD4,DE40	35.8 	18.4 	20.6 
CVA,LUD4,DE7	20.9 	75.3 	18.9 
CVA,LUD4,DE72	19.4 	65.3 	: 
CVA,LUD4,DE73	: 	: 	15.2 
CVA,LUD4,DE8	13.6 	36.6 	30.4 
CVA,LUD4,DE80	13.6 	36.6 	30.4 
CVA,LUD4,DE9	21.8 	31.3 	15.2 
CVA,LUD4,DE91	34.3 	24.3 	: 
CVA,LUD4,DE92	70.1 	: 	: 
CVA,LUD4,DE93	69.7 	: 	15.1 
CVA,LUD4,DE94	18.8 	: 	: 
CVA,LUD4,DEA	14.5 	13.2 	15.4 
CVA,LUD4,DEA1	37.1 	27.9 	29.5 
CVA,LUD4,DEA2	47.2 	32.9 	47.4 
CVA,LUD4,DEA3	28.5 	24.1 	20.5 
CVA,LUD4,DEA4	13.6 	16.4 	19.1 
CVA,LUD4,DEA5	31.1 	24.8 	58.4 
CVA,LUD4,DEB	29.4 	30.4 	23.5 
CVA,LUD4,DEB1	30.5 	32.8 	25.8 
CVA,LUD4,DEB3	: 	: 	60 
CVA,LUD4,DEC	69.3 	72.8 	76.3 
CVA,LUD4,DEC0	69.3 	72.8 	76.3 
CVA,LUD4,DED	10.9 	11.6 	18.5 
CVA,LUD4,DED2	13.5 	13.3 	22.7 
CVA,LUD4,DED4	11.3 	27.5 	: 
CVA,LUD4,DED5	29 	: 	23.2 
CVA,LUD4,DEE	15.3 	19.8 	22.6 
CVA,LUD4,DEE0	15.3 	19.8 	22.6 
CVA,LUD4,DEF	49.8 	: 	: 
CVA,LUD4,DEF0	49.8 	: 	: 
CVA,LUD4,DEG	20.3 	13.8 	21.1 
CVA,LUD4,DEG0	20.3 	13.8 	21.1 
CVA,LUD4,DK	15.6 	14.3 	16.1 
CVA,LUD4,DK0	15.6 	14.3 	16.1 
CVA,LUD4,DK01	: 	: 	57.4 
CVA,LUD4,DK02	54.6 	: 	: 
CVA,LUD4,DK03	9.2 	11.3 	12.7 
CVA,LUD4,DK05	24.7 	23.6 	21.5 
CVA,LUD4,EE	10 	: 	: 
CVA,LUD4,EE0	10 	: 	: 
CVA,LUD4,EE00	10 	: 	: 
CVA,LUD4,EL	4.8 	4 	5 
CVA,LUD4,EL3	58.9 	30.1 	: 
CVA,LUD4,EL30	58.9 	30.1 	: 
CVA,LUD4,EL4	14.1 	13.1 	: 
CVA,LUD4,EL41	11.4 	10.6 	: 
CVA,LUD4,EL43	29.2 	18.8 	: 
CVA,LUD4,EL5	7.9 	6.8 	7.7 
CVA,LUD4,EL51	10.4 	7.7 	8.1 
CVA,LUD4,EL52	18.2 	10.3 	17.3 
CVA,LUD4,EL53	13.1 	31 	: 
CVA,LUD4,EL54	11.6 	9.3 	15.1 
CVA,LUD4,EL6	5.2 	4.6 	5.4 
CVA,LUD4,EL61	13.3 	12.4 	4.4 
CVA,LUD4,EL63	10.9 	13.7 	9.6 
CVA,LUD4,EL64	3.7 	5.6 	5.6 
CVA,LUD4,EL65	3.5 	4.2 	12.8 
CVA,LUD4,ES	1 	1 	0.9 
CVA,LUD4,ES1	4.3 	4 	3.1 
CVA,LUD4,ES11	4.8 	6 	4.7 
CVA,LUD4,ES12	21.2 	5.5 	4.4 
CVA,LUD4,ES13	5.4 	4.2 	4.7 
CVA,LUD4,ES2	4.6 	3.5 	4 
CVA,LUD4,ES21	7.2 	12.1 	7.6 
CVA,LUD4,ES22	16.5 	15.9 	13.8 
CVA,LUD4,ES23	5.1 	5.6 	: 
CVA,LUD4,ES24	4.7 	3.2 	4.3 
CVA,LUD4,ES3	8.8 	10.7 	9.1 
CVA,LUD4,ES30	8.8 	10.7 	9.1 
CVA,LUD4,ES4	1.1 	1.2 	0.9 
CVA,LUD4,ES41	2.2 	2.5 	2.3 
CVA,LUD4,ES42	1.7 	2.2 	1.8 
CVA,LUD4,ES43	1.5 	1.6 	1.2 
CVA,LUD4,ES5	4 	4 	3.8 
CVA,LUD4,ES51	5.7 	5.7 	4.6 
CVA,LUD4,ES52	5.6 	5 	6.2 
CVA,LUD4,ES6	2.5 	2.1 	1.9 
CVA,LUD4,ES61	2.6 	2.3 	1.7 
CVA,LUD4,ES62	15 	9.2 	12.6 
CVA,LUD4,EU27_2007	1.3 	1.3 	: 
CVA,LUD4,EU27_2020	1.3 	: 	: 
CVA,LUD4,EU28	1.3 	: 	: 
CVA,LUD4,EU_V	1.4 	1.4 	1.2 
CVA,LUD4,FI	37.1 	26.9 	17.6 
CVA,LUD4,FI1	37.3 	27 	17.6 
CVA,LUD4,FI19	65.4 	: 	57.7 
CVA,LUD4,FI1C	61.7 	: 	: 
CVA,LUD4,FI1D	19.7 	27 	18.2 
CVA,LUD4,FR	5.1 	5.5 	5.8 
CVA,LUD4,FR1	44.2 	32.2 	68.9 
CVA,LUD4,FR10	44.2 	32.2 	68.9 
CVA,LUD4,FR2	15.6 	16.6 	18.2 
CVA,LUD4,FR21	14.7 	13.9 	6 
CVA,LUD4,FR22	35.8 	40.3 	77.2 
CVA,LUD4,FR23	46.5 	69.4 	66 
CVA,LUD4,FR24	79.5 	: 	26.2 
CVA,LUD4,FR25	20.7 	19.3 	21.8 
CVA,LUD4,FR26	61 	68.5 	60.9 
CVA,LUD4,FR3	13.1 	18.1 	17.9 
CVA,LUD4,FR30	13.1 	18.1 	17.9 
CVA,LUD4,FR4	5.6 	9.6 	14.8 
CVA,LUD4,FR41	8.3 	8.6 	19.4 
CVA,LUD4,FR43	5.7 	17.1 	9 
CVA,LUD4,FR5	13.5 	14.8 	10.9 
CVA,LUD4,FR51	22.5 	28.1 	22.8 
CVA,LUD4,FR52	24 	23.5 	18.3 
CVA,LUD4,FR53	23.2 	14.5 	17 
CVA,LUD4,FR6	9 	7.7 	10 
CVA,LUD4,FR61	12 	13.1 	8.8 
CVA,LUD4,FR62	15.8 	11.6 	16.2 
CVA,LUD4,FR63	42.6 	8.3 	12.5 
CVA,LUD4,FR7	10.4 	10.5 	12.7 
CVA,LUD4,FR71	10.5 	10.4 	13.5 
CVA,LUD4,FR72	: 	24.3 	: 
CVA,LUD4,FR8	9.6 	13.5 	9.9 
CVA,LUD4,FR81	20.9 	20.4 	9.5 
CVA,LUD4,FR82	12.7 	20 	42.2 
CVA,LUD4,FR83	7.3 	: 	14.8 
CVA,LUD4,HR	11.5 	: 	: 
CVA,LUD4,HR0	11.5 	: 	: 
CVA,LUD4,HR03	12.8 	: 	: 
CVA,LUD4,HR04	15.1 	: 	: 
CVA,LUD4,HU	6.5 	4.9 	5.4 
CVA,LUD4,HU1	20.6 	15.2 	13.4 
CVA,LUD4,HU10	20.6 	15.2 	13.4 
CVA,LUD4,HU2	14.1 	10.9 	11.8 
CVA,LUD4,HU21	27.2 	15.8 	13.3 
CVA,LUD4,HU22	: 	: 	12.6 
CVA,LUD4,HU23	18.2 	12.5 	14.4 
CVA,LUD4,HU3	7.6 	5.7 	6.4 
